code,tournament,bid,seed,rWon,school,gender,speaks,phouse,location,state,grad,numGender,facPhouse,facInstate,numInstate,trips,doubs,octas,quarters,semis,finals,elimsw,gotBid,facGotBid
Harker KQ,Greenhill,Octas,34,3,Harker,female,115,0,Texas,California,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker ZD,Greenhill,Octas,60,2,Harker,male,113.7,0,Texas,California,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harrison EA,Greenhill,Octas,7,5,Harrison,female,116.8,0,Texas,New York,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,1,Bid
Harrison SR,Greenhill,Octas,31,3,Harrison,female,115.5,0,Texas,New York,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake CC,Greenhill,Octas,1,6,Harvard-Westlake,male,117.4,1,Texas,California,2016,1,Powerhouse,outofstate,0,NA,1,1,1,1,1,5,1,Bid
Harvard-Westlake NS,Greenhill,Octas,5,5,Harvard-Westlake,male,117.3,1,Texas,California,2016,1,Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Immaculate Heart LM,Greenhill,Octas,10,5,Immaculate Heart,female,115.5,0,Texas,California,2016,0,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,1,Bid
Interlake AL,Greenhill,Octas,25,4,Interlake,female,114.5,0,Texas,Washington,2016,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Kingwood RG,Greenhill,Octas,64,2,Kingwood,male,112.7,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Law Magnet DD,Greenhill,Octas,8,5,Law Magnet,male,116.2,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,1,Bid
Law Magnet DR,Greenhill,Octas,75,2,Law Magnet,male,108.8,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Law Magnet JM,Greenhill,Octas,79,1,Law Magnet,male,111.2,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Law Magnet KJ,Greenhill,Octas,83,1,Law Magnet,female,108.3,0,Texas,Texas,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Leland SH,Greenhill,Octas,57,2,Leland,female,114.3,0,Texas,California,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Liberty Christian BS,Greenhill,Octas,23,4,Liberty Christian,female,114.7,0,Texas,Texas,2016,0,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Loyola AP,Greenhill,Octas,51,3,Loyola,male,113.2,0,Texas,California,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola JO,Greenhill,Octas,49,3,Loyola,male,113.6,1,Texas,California,2016,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough AG,Greenhill,Octas,13,4,Marlborough,female,116.3,0,Texas,California,2016,0,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,1,Bid
Meadows AT,Greenhill,Octas,62,2,Meadows,female,113.4,0,Texas,Nevada,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Meadows LS,Greenhill,Octas,29,4,Meadows,male,112.9,0,Texas,Nevada,2016,1,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Meadows SK,Greenhill,Octas,46,3,Meadows,female,113.7,0,Texas,Nevada,2016,0,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Montgomery MB,Greenhill,Octas,48,3,Montgomery,male,113.6,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Newark Science AK,Greenhill,Octas,3,5,Newark Science,male,117.5,0,Texas,New Jersey,2016,1,non-Powerhouse,outofstate,0,NA,1,0,-1,-1,-1,-2,1,Bid
Peninsula KK,Greenhill,Octas,44,3,Peninsula,male,113.9,1,Texas,California,2016,1,Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Plano East Senior AB,Greenhill,Octas,58,2,Plano East Senior,female,113.9,0,Texas,Texas,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Plano East Senior AK,Greenhill,Octas,12,5,Plano East Senior,male,114.8,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
St. Thomas JB,Greenhill,Octas,18,4,St. Thomas,male,115.44,0,Texas,Texas,2016,1,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,1,Bid
Strake Jesuit CP RB,Greenhill,Octas,56,3,Strake Jesuit CP,male,111.5,1,Texas,Texas,2016,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Strake Jesuit CP SM,Greenhill,Octas,2,6,Strake Jesuit CP,male,115.9,1,Texas,Texas,2016,1,Powerhouse,instate,1,NA,1,1,1,1,0,4,1,Bid
West Des Moines Valley DR,Greenhill,Octas,30,4,West Des Moines Valley,female,112.5,1,Texas,Iowa,2016,0,Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Westlake HS (Austin) DB,Greenhill,Octas,24,4,Westlake HS (Austin),male,114.5,1,Texas,Texas,2016,1,Powerhouse,instate,1,NA,1,1,0,-1,-1,0,1,Bid
Westwood NS,Greenhill,Octas,76,1,Westwood,female,112.8,0,Texas,Texas,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Winston Churchill KH,Greenhill,Octas,41,3,Winston Churchill,female,114.1,0,Texas,Texas,2016,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker AM,Hollywood,Finals,57,1,Harker,female,110.8,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker CZ,Hollywood,Finals,36,3,Harker,female,112.4,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker SS,Hollywood,Finals,52,2,Harker,male,110.4,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
La Reina DS,Hollywood,Finals,61,1,La Reina,female,109.7,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
San Dieguito SZ,Hollywood,Finals,51,2,San Dieguito,female,110.7,0,California,NA,NA,0,non-Powerhouse,NA,NA,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Beckman KM,Hollywood,Finals,59,1,Beckman,male,110.1,0,California,California,2019,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood EBl,Hollywood,Finals,25,3,Brentwood,female,114.4,1,California,California,2019,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood RY,Hollywood,Finals,28,3,Brentwood,male,114,1,California,California,2019,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker KS,Hollywood,Finals,48,2,Harker,female,111.5,0,California,California,2019,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker SN,Hollywood,Finals,21,4,Harker,male,113,0,California,California,2019,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake ER,Hollywood,Finals,41,3,Harvard-Westlake,male,111.5,1,California,California,2019,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake EW,Hollywood,Finals,56,1,Harvard-Westlake,female,111.4,1,California,California,2019,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake LM,Hollywood,Finals,19,4,Harvard-Westlake,female,113.7,1,California,California,2019,0,Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake SP,Hollywood,Finals,18,4,Harvard-Westlake,male,113.8,1,California,California,2019,1,Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
La Reina AM,Hollywood,Finals,49,2,La Reina,female,111.3,0,California,California,2019,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Peninsula SM,Hollywood,Finals,53,2,Peninsula,male,110,1,California,California,2019,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Arcadia VL,Hollywood,Finals,27,3,Arcadia,male,114.1,0,California,California,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Beckman JP,Hollywood,Finals,23,4,Beckman,female,112.9,0,California,California,2018,0,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Brentwood EB,Hollywood,Finals,46,2,Brentwood,female,112,1,California,California,2018,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood EL,Hollywood,Finals,33,3,Brentwood,female,112.8,1,California,California,2018,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood JD,Hollywood,Finals,35,3,Brentwood,male,112.6,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood WJ,Hollywood,Finals,17,4,Brentwood,male,114.2,1,California,California,2018,1,Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Brentwood WL,Hollywood,Finals,42,3,Brentwood,male,110.8,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harker ML,Hollywood,Finals,34,3,Harker,male,112.8,0,California,California,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake IP,Hollywood,Finals,9,5,Harvard-Westlake,female,115.7,1,California,California,2018,0,Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Harvard-Westlake WP,Hollywood,Finals,10,5,Harvard-Westlake,male,115.1,1,California,California,2018,1,Powerhouse,instate,1,NA,1,1,0,-1,-1,0,0,NoBid
Immaculate Heart DD,Hollywood,Finals,11,5,Immaculate Heart,female,115,0,California,California,2018,0,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Immaculate Heart MS,Hollywood,Finals,32,3,Immaculate Heart,female,112.9,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
La Costa Canyon AT,Hollywood,Finals,62,0,La Costa Canyon,female,110.6,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
La Reina EA,Hollywood,Finals,45,2,La Reina,female,112,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola ES,Hollywood,Finals,60,1,Loyola,male,109.8,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola GR,Hollywood,Finals,39,3,Loyola,male,111.7,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola NT,Hollywood,Finals,38,3,Loyola,male,111.7,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough CC,Hollywood,Finals,47,2,Marlborough,female,111.9,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough KR,Hollywood,Finals,37,3,Marlborough,female,112.2,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough MC,Hollywood,Finals,20,4,Marlborough,male,113.7,0,California,California,2018,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Marlborough ZW,Hollywood,Finals,29,3,Marlborough,female,113.8,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Peninsula IG,Hollywood,Finals,7,5,Peninsula,male,116.1,1,California,California,2018,1,Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Polytechnic EM,Hollywood,Finals,58,1,Polytechnic,male,110.4,0,California,California,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
San Dieguito DF,Hollywood,Finals,54,2,San Dieguito,male,109,0,California,California,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
San Dieguito OH,Hollywood,Finals,55,1,San Dieguito,female,111.7,0,California,California,2018,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Albany EK,Hollywood,Finals,40,3,Albany,male,111.5,0,California,California,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Immaculate Heart DE,Hollywood,Finals,44,2,Immaculate Heart,female,112.3,0,California,California,2017,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Loyola BJo,Hollywood,Finals,63,0,Loyola,male,109.6,0,California,California,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough GK,Hollywood,Finals,13,5,Marlborough,female,114.2,0,California,California,2017,0,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Marlborough LG,Hollywood,Finals,15,4,Marlborough,female,115.3,0,California,California,2017,0,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Meadows ER,Hollywood,Finals,30,3,Meadows,male,113.8,0,California,Nevada,2017,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Oakwood School - North Hollywood AM,Hollywood,Finals,12,5,Oakwood School - North Hollywood,male,114.8,0,California,California,2017,1,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Oakwood School - North Hollywood JW,Hollywood,Finals,2,5,Oakwood School - North Hollywood,male,118.4,0,California,California,2017,1,non-Powerhouse,instate,1,NA,1,1,1,1,1,5,1,Bid
Peninsula JL,Hollywood,Finals,1,6,Peninsula,male,119.2,1,California,California,2017,1,Powerhouse,instate,1,NA,1,1,1,1,0,4,1,Bid
Peninsula JLe,Hollywood,Finals,31,3,Peninsula,female,113.8,1,California,California,2017,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
West Ranch JW,Hollywood,Finals,26,3,West Ranch,male,114.3,0,California,California,2017,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood JR,Hollywood,Finals,4,5,Brentwood,male,117.1,1,California,California,2016,1,Powerhouse,instate,1,NA,1,1,1,0,-1,2,0,NoBid
Brophy CP KM,Hollywood,Finals,43,2,Brophy CP,male,113.4,0,California,Arizona,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Chaminade CP ER,Hollywood,Finals,16,4,Chaminade CP,male,114.9,0,California,California,2016,1,non-Powerhouse,instate,1,NA,0,-1,-1,-1,-1,-4,0,NoBid
Harker SP,Hollywood,Finals,50,2,Harker,male,111.3,0,California,California,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Immaculate Heart LM,Hollywood,Finals,6,5,Immaculate Heart,female,116.4,0,California,California,2016,0,non-Powerhouse,instate,1,NA,1,1,1,0,-1,2,0,NoBid
La Costa Canyon JC,Hollywood,Finals,24,3,La Costa Canyon,male,114.5,0,California,California,2016,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Marlborough AG,Hollywood,Finals,8,5,Marlborough,female,116,0,California,California,2016,0,non-Powerhouse,instate,1,NA,1,1,0,-1,-1,0,0,NoBid
Meadows IO,Hollywood,Finals,64,0,Meadows,male,108.1,0,California,Nevada,2016,1,non-Powerhouse,outofstate,0,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Meadows KB,Hollywood,Finals,14,4,Meadows,male,117,0,California,Nevada,2016,1,non-Powerhouse,outofstate,0,NA,1,1,0,-1,-1,0,0,NoBid
Meadows SK,Hollywood,Finals,22,4,Meadows,female,112.9,0,California,Nevada,2016,0,non-Powerhouse,outofstate,0,NA,0,-1,-1,-1,-1,-4,0,NoBid
Oakwood School - North Hollywood JS,Hollywood,Finals,5,5,Oakwood School - North Hollywood,male,116.5,0,California,California,2016,1,non-Powerhouse,instate,1,NA,1,1,0,-1,-1,0,0,NoBid
Peninsula KK,Hollywood,Finals,3,5,Peninsula,male,117.4,1,California,California,2016,1,Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Benjamin Franklin Higbh MB,Holy Cross,Finals,16,3,Benjamin Franklin Higbh,male,167.5,0,Louisianna,NA,NA,1,non-Powerhouse,NA,NA,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Benjamin Franklin Higbh SF,Holy Cross,Finals,5,5,Benjamin Franklin Higbh,male,172.7,0,Louisianna,NA,NA,1,non-Powerhouse,NA,NA,NA,NA,1,0,-1,-1,-1,0,NoBid
J. Graham Brown BD,Holy Cross,Finals,6,5,J. Graham Brown,male,171.8,0,Louisianna,NA,NA,1,non-Powerhouse,NA,NA,NA,NA,1,0,-1,-1,-1,0,NoBid
New Orleans Jesuit AZ,Holy Cross,Finals,35,1,New Orleans Jesuit,male,158.4,0,Louisianna,Louisianna,NA,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
New Orleans Jesuit JG,Holy Cross,Finals,30,2,New Orleans Jesuit,male,163.9,0,Louisianna,Louisianna,NA,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake KK,Holy Cross,Finals,15,3,Harvard-Westlake,female,167.9,1,Louisianna,California,2019,0,Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake LM,Holy Cross,Finals,12,4,Harvard-Westlake,female,170.5,1,Louisianna,California,2019,0,Powerhouse,outofstate,0,NA,NA,0,-1,-1,-1,-3,0,NoBid
John Paul the Great KM,Holy Cross,Finals,33,2,John Paul the Great,female,158.7,0,Louisianna,Louisianna,2019,0,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
John Paul the Great LP,Holy Cross,Finals,36,1,John Paul the Great,female,153.4,0,Louisianna,Louisianna,2019,0,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
New Orleans Jesuit CK,Holy Cross,Finals,37,0,New Orleans Jesuit,male,161.1,0,Louisianna,Louisianna,2019,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
New Orleans Jesuit JZ,Holy Cross,Finals,28,2,New Orleans Jesuit,male,163.8,0,Louisianna,Louisianna,2019,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
St. Andrew's Episcopal IB,Holy Cross,Finals,20,3,St. Andrew's Episcopal,male,165.2,0,Louisianna,Mississippi,2019,1,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Harvard-Westlake CJ,Holy Cross,Finals,17,3,Harvard-Westlake,female,168.8,1,Louisianna,California,2018,0,Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Hockaday AO,Holy Cross,Finals,32,2,Hockaday,female,163.4,0,Louisianna,Texas,2018,0,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Hockaday CI,Holy Cross,Finals,29,2,Hockaday,female,164.6,0,Louisianna,Texas,2018,0,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Hockaday ES,Holy Cross,Finals,24,3,Hockaday,female,160,0,Louisianna,Texas,2018,0,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Hockaday KB,Holy Cross,Finals,9,4,Hockaday,female,171.8,0,Louisianna,Texas,2018,0,non-Powerhouse,outofstate,0,NA,NA,0,-1,-1,-1,-3,0,NoBid
Isidore Newman AJ,Holy Cross,Finals,26,2,Isidore Newman,male,165.8,0,Louisianna,Louisianna,2018,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Isidore Newman LA,Holy Cross,Finals,23,3,Isidore Newman,female,160.8,0,Louisianna,Louisianna,2018,0,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Isidore Newman MK,Holy Cross,Finals,31,2,Isidore Newman,male,164.6,0,Louisianna,Louisianna,2018,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Laurel Christian HP,Holy Cross,Finals,27,2,Laurel Christian,male,165.24,0,Louisianna,Mississippi,2018,1,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
New Orleans Jesuit RC,Holy Cross,Finals,8,4,New Orleans Jesuit,male,173,0,Louisianna,Louisianna,2018,1,non-Powerhouse,instate,1,NA,NA,1,1,0,-1,1,0,NoBid
Dulles AW,Holy Cross,Finals,13,3,Dulles,male,174.5,0,Louisianna,Texas,2017,1,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Harrison RP,Holy Cross,Finals,1,6,Harrison,male,175.6,0,Louisianna,New York,2017,1,non-Powerhouse,outofstate,0,NA,NA,1,0,-1,-1,-1,0,NoBid
Harvard-Westlake CE,Holy Cross,Finals,2,6,Harvard-Westlake,male,174.4,1,Louisianna,California,2017,1,Powerhouse,outofstate,0,NA,NA,1,1,0,-1,1,0,NoBid
Harvard-Westlake EE,Holy Cross,Finals,4,5,Harvard-Westlake,male,173.8,1,Louisianna,California,2017,1,Powerhouse,outofstate,0,NA,NA,1,1,1,0,3,1,Bid
Laurel Christian SH,Holy Cross,Finals,34,1,Laurel Christian,female,166.56,0,Louisianna,Mississippi,2017,0,non-Powerhouse,outofstate,0,NA,NA,-1,-1,-1,-1,-4,0,NoBid
St. Andrew's Episcopal BM,Holy Cross,Finals,10,4,St. Andrew's Episcopal,female,171.1,0,Louisianna,Mississippi,2017,0,non-Powerhouse,outofstate,0,NA,NA,0,-1,-1,-1,-3,0,NoBid
St. Thomas More Catholic JM,Holy Cross,Finals,20,3,St. Thomas More Catholic,male,166.3,0,Louisianna,Louisianna,2017,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Isidore Newman AA,Holy Cross,Finals,25,2,Isidore Newman,female,169.2,0,Louisianna,Louisianna,2016,0,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Liberty Christian BS,Holy Cross,Finals,3,5,Liberty Christian,female,174.3,0,Louisianna,Texas,2016,0,non-Powerhouse,outofstate,0,NA,NA,1,1,1,1,4,1,Bid
New Orleans Jesuit MM,Holy Cross,Finals,38,0,New Orleans Jesuit,female,159,0,Louisianna,Louisianna,2016,0,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Park Crossing CP,Holy Cross,Finals,11,4,Park Crossing,male,171.2,0,Louisianna,Alabama,2016,1,non-Powerhouse,outofstate,0,NA,NA,0,-1,-1,-1,-3,0,NoBid
Plano East AK,Holy Cross,Finals,7,5,Plano East,male,171.4,0,Louisianna,Texas,2016,1,non-Powerhouse,outofstate,0,NA,NA,1,0,-1,-1,-1,0,NoBid
Ruston WP,Holy Cross,Finals,14,3,Ruston,male,168.8,0,Louisianna,Louisianna,2016,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
St Augustine IL,Holy Cross,Finals,22,3,St Augustine,male,164.5,0,Louisianna,Louisianna,2016,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
St. Thomas More Catholic JB,Holy Cross,Finals,21,3,St. Thomas More Catholic,male,163.6,0,Louisianna,Louisianna,2016,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
St. Thomas More Catholic SC,Holy Cross,Finals,18,3,St. Thomas More Catholic,male,167,0,Louisianna,Louisianna,2016,1,non-Powerhouse,instate,1,NA,NA,-1,-1,-1,-1,-4,0,NoBid
Del Mar SH,Loyola,Semis,38,3,Del Mar,female,112.1,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
HWMS ER,Loyola,Semis,58,2,HWMS,male,109.2,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
HWMS JD,Loyola,Semis,56,2,HWMS,male,109.9,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
HWMS KK,Loyola,Semis,64,1,HWMS,female,107.9,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
HWMS LM,Loyola,Semis,37,3,HWMS,female,112.4,0,California,California,NA,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
HWMS NP,Loyola,Semis,40,3,HWMS,male,111.6,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lynbrook CW,Loyola,Semis,48,2,Lynbrook,male,111.9,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lynbrook NA,Loyola,Semis,31,3,Lynbrook,male,113.7,0,California,California,NA,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Lynbrook NS,Loyola,Semis,13,4,Lynbrook,male,115.2,0,California,California,NA,1,non-Powerhouse,instate,1,NA,1,0,-1,-1,-1,-2,0,NoBid
Elite of Irvine CL,Loyola,Semis,65,0,Elite of Irvine,female,108.9,0,California,California,2019,0,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Harvard-Westlake EC,Loyola,Semis,57,2,Harvard-Westlake,female,109.46,1,California,California,2019,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Mountain View VP,Loyola,Semis,32,3,Mountain View,male,113.6,0,California,California,2019,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood EL,Loyola,Semis,47,2,Brentwood,female,112.1,1,California,California,2018,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood JDe,Loyola,Semis,61,1,Brentwood,male,109.5,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood KM,Loyola,Semis,55,2,Brentwood,female,110.4,1,California,California,2018,0,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Brentwood WJ,Loyola,Semis,54,2,Brentwood,male,110.5,1,California,California,2018,1,Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
Clovis North RGi,Loyola,Semis,51,2,Clovis North,male,111.7,0,California,California,2018,1,non-Powerhouse,instate,1,NA,-1,-1,-1,-1,-1,-5,0,NoBid
